Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning,review_type
U-Elite Martial Fitness,Kickboxing school,"2 Gambas Cres, U-Elite Martial Fitness, Nordcom 2, Singapore 757044",+65 9154 5914,http://uelite.com.sg/,,https://www.google.com/maps/place/U-Elite+Martial+Fitness/data=!4m7!3m6!1s0x31da186bf0c0a931:0xa95956f6c2c6bdae!8m2!3d1.4429543!4d103.816011!16s%2Fg%2F1ptyg9bvc!19sChIJManA8GsY2jERrr3GwvZWWak,5.0,2047,,OK,,43.1,65,47.5,100,True,False,,True,True,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
King of Strength Boxing Gym,Boxing club,"345 Sembawang Rd, King of Strength Boxing Gym, Singapore 758354",+65 6969 3129,http://www.kosboxingym.sg/,,https://www.google.com/maps/place/King+of+Strength+Boxing+Gym/data=!4m7!3m6!1s0x31da146052998a65:0xa58e17c5dbfacba2!8m2!3d1.4258549!4d103.8256297!16s%2Fg%2F11bx_cl406!19sChIJZYqZUmAU2jERosv628UXjqU,5.0,722,,OK,,44.6,65,42.5,100,True,True,Facebook Messenger Plugin,True,False,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
Prakaipetch Muay Thai Academy @Ang Mo Kio,Muay Thai boxing gym,"5 Ang Mo Kio Central 2, @, #02-04 Prakaipetch Muay Thai Academy @Ang Mo Kio, Dijitsun Mall, Singapore 569663",+65 8912 3383,https://prakaipetch.com.sg/,,https://www.google.com/maps/place/Prakaipetch+Muay+Thai+Academy+@Ang+Mo+Kio/data=!4m7!3m6!1s0x31da174a213c660f:0x26cca3494d5e3747!8m2!3d1.3728749!4d103.8476211!16s%2Fg%2F11shlp17w9!19sChIJD2Y8IUoX2jERRzdeTUmjzCY,5.0,621,,OK,,47.3,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
NEW ERA MMA SG,Martial arts school,"26 Horne Rd, Level 5 NEW ERA MMA SG, Singapore 209062",+65 8875 3949,http://www.neweraccs.com/,,https://www.google.com/maps/place/NEW+ERA+MMA+SG/data=!4m7!3m6!1s0x31da1924390c4a31:0xe108ccaed39616e6!8m2!3d1.3086178!4d103.8627059!16s%2Fg%2F11ty6qk2mt!19sChIJMUoMOSQZ2jER5haW067MCOE,5.0,533,,OK,,34.3,65,35.0,100,True,False,,True,False,True,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,,Automatic
ELITE Sports Academy,Boxing Coaching Center,"191 thomson road Goldhill Shopping Centre, Corner unit 191B, 3rd Floor (Above SuperCuts Exit United Square, 20m from Novena MRT, Goldhill Plaza, ELITE Sports Academy, Parking, Singapore 307632",+65 8112 9162,http://elitecoach.com.sg/,,https://www.google.com/maps/place/ELITE+Sports+Academy/data=!4m7!3m6!1s0x31da19783fcde1d7:0x82fb153320c48953!8m2!3d1.3186753!4d103.8434759!16s%2Fg%2F12mkw96ms!19sChIJ1-HNP3gZ2jERU4nEIDMV-4I,5.0,437,,OK,,46.0,65,45.0,100,True,True,Facebook Messenger Plugin,False,False,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
Spartans Boxing Jurong West,Boxing Coaching Center,"7 Jurong West Ave 5, #02-01 Spartans Boxing Jurong West, Singapore 649486",+65 8189 9882,https://spartansboxing.com/jurong-west/,,https://www.google.com/maps/place/Spartans+Boxing+Jurong+West/data=!4m7!3m6!1s0x31da0f93db878c87:0x34412af22a935e1d!8m2!3d1.3486897!4d103.7032339!16s%2Fg%2F11mr7ys4c2!19sChIJh4yH25MP2jERHV6TKvIqQTQ,5.0,434,,OK,,46.6,65,60.0,100,True,True,Facebook Messenger Plugin,True,True,False,False,False,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,,Automatic
Shogun Fight Gym,Gym,"2 Gambas Cres, Shogun Fight Gym, Singapore 757044",+65 8944 2205,https://www.shogunfightgym.com/,,https://www.google.com/maps/place/Shogun+Fight+Gym/data=!4m7!3m6!1s0x31da137bb5cfb8df:0xc129c1e298b7a9c2!8m2!3d1.4435645!4d103.8152639!16s%2Fg%2F11c1ws_7wp!19sChIJ37jPtXsT2jERwqm3mOLBKcE,4.9,404,,OK,,47.3,65,22.5,100,True,False,,True,False,False,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
Kapap Academy,Martial arts school,"144 Robinson Rd, #05-01 Kapap Academy, Robinson Square, Singapore 068908",+65 9027 6996,https://www.kapapsingapore.com/,,https://www.google.com/maps/place/Kapap+Academy/data=!4m7!3m6!1s0x31da191259f4caf9:0x2cadf536f30c46c6!8m2!3d1.2781981!4d103.8482245!16s%2Fg%2F11ckr6h2hq!19sChIJ-cr0WRIZ2jERxkYM8zb1rSw,4.9,402,,OK,,49.4,65,32.5,100,True,False,,True,False,False,False,True,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.,,Automatic
Prakaipetch Muay Thai Academy @Tampines,Muay Thai boxing gym,"Block – 3, 6 Tampines Street 92, #03-14 Prakaipetch Muay Thai Academy @Tampines, yo:HA Commercial @ Tampines, Singapore 528893",+65 8875 5537,https://prakaipetch.com.sg/,,https://www.google.com/maps/place/Prakaipetch+Muay+Thai+Academy+@Tampines/data=!4m7!3m6!1s0x31da19c92f7754fd:0x2fa8b708d25bdea6!8m2!3d1.3434187!4d103.9415563!16s%2Fg%2F11ll_bb79t!19sChIJ_VR3L8kZ2jERpt5b0gi3qC8,5.0,365,,OK,,47.3,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
Evolve MMA (Orchard Central),Martial arts school,"181 Orchard Road, #06-01 Orchard Central, Evolve MMA (Orchard Central), Singapore 238896",+65 6238 1989,https://evolve-mma.com/locations/evolve-orchard/,,https://www.google.com/maps/place/Evolve+MMA+%28Orchard+Central%29/data=!4m7!3m6!1s0x31da199727e3a715:0x4362c13d42be2424!8m2!3d1.3009807!4d103.8393111!16s%2Fg%2F11b6b4md62!19sChIJFafjJ5cZ2jERJCS-Qj3BYkM,4.8,365,,OK,,37.7,65,72.5,100,True,True,Facebook Messenger Plugin,True,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,,Automatic
