Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs
TMPL Fitness,Gym,"28-30 Avenue A, New York, NY 10009, United States",+1 917-720-4869,https://www.tmplclubs.com/locations/tmpl-avenue-a,,https://www.google.com/maps/place/TMPL+Fitness/data=!4m7!3m6!1s0x89c259dd69c2fe9f:0xb70c9517a081797a!8m2!3d40.7232469!4d-73.9853726!16s%2Fg%2F11lh7bgky1!19sChIJn_7Cad1ZwokRenmBoBeVDLc,4.9,1504,
TMPL - Hell's Kitchen,Gym,"355 W 49th St, New York, NY 10019, United States",+1 917-521-6666,https://www.tmplclubs.com/locations/tmpl-hells-kitchen,,https://www.google.com/maps/place/TMPL+-+Hell%27s+Kitchen/data=!4m7!3m6!1s0x89c25856c5e232e1:0x97ec193cae583a7e!8m2!3d40.7625892!4d-73.9882714!16s%2Fg%2F11cjpcyb08!19sChIJ4TLixVZYwokRfjpYrjwZ7Jc,4.3,946,
Synergy Fitness Clubs,Fitness center,"1781 2nd Ave, New York, NY 10128, United States",+1 212-426-0909,http://synergyfitnyc.com/,,https://www.google.com/maps/place/Synergy+Fitness+Clubs/data=!4m7!3m6!1s0x89c258a577c13aa3:0x803b775922bf4338!8m2!3d40.7822216!4d-73.9489338!16s%2Fg%2F1tk70dyh!19sChIJozrBd6VYwokROEO_Ill3O4A,4.6,607,
Manhattan Plaza Health Club,Gym,"482 W 43rd St 2nd floor, New York, NY 10036, United States",+1 646-590-4411,http://www.mphc.com/,,https://www.google.com/maps/place/Manhattan+Plaza+Health+Club/data=!4m7!3m6!1s0x89c259d43311f587:0x187db89d83a48d89!8m2!3d40.7599419!4d-73.9946078!16s%2Fg%2F1ts3m3b0!19sChIJh_URM9RZwokRiY2kg524fRg,4.2,564,
TMPL - West Village,Gym,"125 7th Ave S, New York, NY 10014, United States",+1 212-206-1500,https://www.tmplclubs.com/locations/tmpl-west-village,,https://www.google.com/maps/place/TMPL+-+West+Village/data=!4m7!3m6!1s0x89c259d3279d8ac5:0xa4499695c28f8fb7!8m2!3d40.734243!4d-74.0021848!16s%2Fg%2F11fd43r6s6!19sChIJxYqdJ9NZwokRt4-PwpWWSaQ,4.6,492,
TS Group Fitness & Personal Training,Personal trainer,"328 E 61st St, New York, NY 10065, United States",+1 646-566-6843,https://tsfitnessnyc.com/,,https://www.google.com/maps/place/TS+Group+Fitness+%26+Personal+Training/data=!4m7!3m6!1s0x89c258e6fb916627:0x68a911ca9e5ce10!8m2!3d40.7611288!4d-73.9621159!16s%2Fg%2F1tqtblbf!19sChIJJ2aR--ZYwokREM7lqRyRigY,5.0,395,
SWEAT440 Fitness FiDi,Gym,"80 John St, New York, NY 10038, United States",+1 888-507-9328,https://sweat440.com/gyms/new-york/financial-district-10038/,,https://www.google.com/maps/place/SWEAT440+Fitness+FiDi/data=!4m7!3m6!1s0x89c25ba832d0ab05:0xfa006838a49f59bc!8m2!3d40.7083178!4d-74.0068091!16s%2Fg%2F11rw_nw65v!19sChIJBavQMqhbwokRvFmfpDhoAPo,4.9,382,
SWEAT440 Fitness Chelsea,Gym,"600 6th Ave, New York, NY 10011, United States",+1 888-507-9328,https://sweat440.com/gyms/new-york/chelsea-10011/,,https://www.google.com/maps/place/SWEAT440+Fitness+Chelsea/data=!4m7!3m6!1s0x89c2593d17ce85f3:0x75c2d2725f73b5ac!8m2!3d40.7393714!4d-73.9951139!16s%2Fg%2F11h5md3lg0!19sChIJ84XOFz1ZwokRrLVzX3LSwnU,4.9,343,
Chelsea Piers Fitness,Fitness center,"60 Chelsea Piers, New York, NY 10011, United States",+1 212-336-6000,https://fitness.chelseapiers.com/locations/chelsea-ny,,https://www.google.com/maps/place/Chelsea+Piers+Fitness/data=!4m7!3m6!1s0x89c259a341ce4fa5:0x3917817d381c3343!8m2!3d40.746645!4d-74.010057!16s%2Fg%2F1tj58pfl!19sChIJpU_OQaNZwokRQzMcOH2BFzk,4.3,334,
Crunch Fitness - FiDi,Gym,"140 Broadway, New York, NY 10005, United States",+1 212-308-5824,https://www.crunch.com/locations/fidi,,https://www.google.com/maps/place/Crunch+Fitness+-+FiDi/data=!4m7!3m6!1s0x89c25a3d5c188acd:0x1f54d7f330bb1560!8m2!3d40.7084471!4d-74.009763!16s%2Fg%2F11f3w9j29p!19sChIJzYoYXD1awokRYBW7MPPXVB8,4.1,334,
