Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning
Anytime Fitness Haymarket,Gym,"Lower Ground, Floor, 725/731 George St, Haymarket NSW 2000, Australia",+61 423 741 895,https://www.anytimefitness.com.au/gyms/au-1629/haymarket-nsw-2000/,,https://www.google.com/maps/place/Anytime+Fitness+Haymarket/data=!4m7!3m6!1s0x6b12aff5886f097b:0xca5184581a911d14!8m2!3d-33.8811158!4d151.2044888!16s%2Fg%2F11jk_s3wkz!19sChIJewlviPWvEmsRFB2RGliEUco,4.6,962,,OK,,11.1,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Revo Fitness - Pitt St Sydney,Gym,"Westfield Sydney, Shop 5001/Level 5/188 Pitt St, Sydney NSW 2000, Australia",+61 1300 738 638,https://revofitness.com.au/gyms/pitt-st/,,https://www.google.com/maps/place/Revo+Fitness+-+Pitt+St+Sydney/data=!4m7!3m6!1s0x6b12afd7d5c0b603:0xd6d3a2d8c44a3c5c!8m2!3d-33.8703215!4d151.2093327!16s%2Fg%2F11j_c0vgl_!19sChIJA7bA1devEmsRXDxKxNii09Y,4.8,790,,OK,,35.5,65,17.5,100,True,False,,False,False,True,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.,
Anytime Fitness Potts Point,Gym,"2-14 Kings Cross Rd, Potts Point NSW 2011, Australia",+61 422 903 495,http://www.anytimefitness.com.au/gyms/au-1091/potts-point-nsw-2011,,https://www.google.com/maps/place/Anytime+Fitness+Potts+Point/data=!4m7!3m6!1s0x6b12ae0d9a0d2ef1:0x8bf495088efab01f!8m2!3d-33.8755465!4d151.2226947!16s%2Fg%2F1tfzs1vv!19sChIJ8S4Nmg2uEmsRH7D6jgiV9Is,4.5,607,,OK,,9.6,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Anytime Fitness Surry Hills,Gym,"Level 1/87 Foveaux St, Surry Hills NSW 2010, Australia",+61 466 409 760,https://www.anytimefitness.com.au/gyms/au-1099/surry-hills-nsw-2010/,,https://www.google.com/maps/place/Anytime+Fitness+Surry+Hills/data=!4m7!3m6!1s0x6b12ae22852df0c3:0x52fcb8065faeb46f!8m2!3d-33.884857!4d151.211191!16s%2Fg%2F1tmxr51m!19sChIJw_AthSKuEmsRb7SuXwa4_FI,4.7,545,,OK,,11.1,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Anytime Fitness Hyde Park,Gym,"Level 4/227 Elizabeth St, Sydney NSW 2000, Australia",+61 413 252 695,https://www.anytimefitness.com/en-au/membership-inquiry,,https://www.google.com/maps/place/Anytime+Fitness+Hyde+Park/data=!4m7!3m6!1s0x6b12ae3de4a78c6f:0x1b6d0d4bd11377cc!8m2!3d-33.874382!4d151.2093658!16s%2Fg%2F12hmcgp5x!19sChIJb4yn5D2uEmsRzHcT0UsNbRs,4.2,527,,OK,,13.6,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
ONYX Gym & Fitness,Gym,"20 Bowden St, Alexandria NSW 2015, Australia",+61 2 9184 7762,https://onyxgym.com.au/,,https://www.google.com/maps/place/ONYX+Gym+%26+Fitness/data=!4m7!3m6!1s0x6b12b1bf7edb6c39:0x800aa76a019549a9!8m2!3d-33.9043464!4d151.1962127!16s%2Fg%2F11smv6lhvv!19sChIJOWzbfr-xEmsRqUmVAWqnCoA,5.0,515,,OK,,48.4,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
Anytime Fitness Chippendale,Gym,"110, Central Park Mall, 28 Broadway, Chippendale NSW 2008, Australia",+61 427 091 806,https://www.anytimefitness.com.au/gyms/au-1744/chippendale-nsw-2008/,,https://www.google.com/maps/place/Anytime+Fitness+Chippendale/data=!4m7!3m6!1s0x6b12afab6d3f3b05:0xc806a7633ae88873!8m2!3d-33.8846716!4d151.2005686!16s%2Fg%2F11w2l19fj3!19sChIJBTs_bauvEmsRc4joOmOnBsg,4.7,483,,OK,,11.1,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Gold's Gym,Gym,"7-9 West St, North Sydney NSW 2060, Australia",+61 2 9956 5230,https://goldsgym.com.au/north-sydney/,,https://www.google.com/maps/place/Gold%27s+Gym/data=!4m7!3m6!1s0x6b12aeec14f873f3:0x24b82b2c29a3b480!8m2!3d-33.8331069!4d151.2057037!16s%2Fg%2F11dzzmccdv!19sChIJ83P4FOyuEmsRgLSjKSwruCQ,4.5,443,,OK,,47.7,65,30.0,100,True,False,,False,True,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
Camperdown Fitness,Gym,"63-65 Pyrmont Bridge Rd, Camperdown NSW 2050, Australia",+61 2 8594 2900,https://camperdownfitness.trialus.com.au/,,https://www.google.com/maps/place/Camperdown+Fitness/data=!4m7!3m6!1s0x6b12b02f5b6219f9:0xb50e14dc99f6f907!8m2!3d-33.885624!4d151.1760975!16s%2Fg%2F1v6wpg_6!19sChIJ-RliWy-wEmsRB_n2mdwUDrU,4.4,438,,OK,,38.3,65,15.0,100,True,False,,False,True,False,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Virgin Active Pitt Street (MidCity Centre),Gym,"2/197 Pitt Street Mall, Sydney NSW 2000, Australia",+61 2 8240 6000,https://www.virginactive.com.au/locations/pitt-street,,https://www.google.com/maps/place/Virgin+Active+Pitt+Street+%28MidCity+Centre%29/data=!4m7!3m6!1s0x6b12ae3f963444cb:0xc4c1491b6c14d90!8m2!3d-33.8696076!4d151.2081608!16s%2Fg%2F1tfcnhjx!19sChIJy0Q0lj-uEmsRkE3BtpEUTAw,4.1,356,,OK,,29.2,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
